sentiment,tweet
neutral,"I go to 'User Experience Roundtable Hamburg - Detlev Fischer on Accessibility, BITV Test' https://www.xing.com/events/333622 Don`t miss!"
negative, Is it possible to a have phobia of phobias? Afraid to look at list.
negative, Oh no! Dead muffins ... how sad
neutral,I`m sitting around wanting to do something  any ideas?
positive,Good day all. Let`s see what we can get accomplished today together.
positive,I love my daddy. Dad`s are so under appreciated by their daughters these days ... Not mine.
neutral,Just woke up  shopping today for my birthday....kinda
negative,The sun is not cool
neutral,Can`t sleep but is happy that the Fugees are keeping him company
neutral, WHY DIDNT I SEE YOU?
negative,DotA is an addiction...i waste 6-7 hours playing dota
neutral,OMG..5 days till 1st state exam!
positive, thank you for reading Ohlala
positive, Chocolate with peanut butter. One of my favorite combonations
positive,Happy birthday.
positive, ok2  g`nyt? Haha too early.
neutral, let be me your first
negative,Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.
neutral,Just realized you can get arrested for public disturbance. oh well i`ll take my chances.
negative,  Ha!  I dunno about standing anything up.  Very very rough today.  It hurts to talk.
negative,Washing The Dishes :S iTs So hard 2 be Me
positive,"tried oprahs free unfried kfc and loved it  i went back for another try and topped it with boba and wolverine.Chilled with pope,dave,ben"
neutral,Room is so empty
negative,has to do two 50 page assignments this weekend  there goes any chance of relaxation!!
positive,just finished dinner - it was yummy
neutral,about to go to my boo`s pad
neutral, sure i can talk....the fabulous **** part though is out  sorry dear
positive, Aww how cute! You`d love my bathroom  http://twitpic.com/4jez4
negative,"I hate: midgets! Smfh! Had a dream I was fightin 1 LN in Boston Market, turbull! He kept head bunting me"
neutral," Geez sorry to hear Steph, I hope things improve soon. I know that ain`t much sorry"
positive, hey there! your web URL looks good
negative,stupid playstation! stupid controllers don`t work so I can`t play kingdom hearts.
neutral,"11.40 AM. I don`t wanna wake up. Shoo, roommate, shoo."
positive," Ha Thats good. Thats why I love my boys, cos they never stir up the hatred that the mighty red scum do  Everyone loves City"
positive,Yep. That good feeling didn`t last.  back to sleeping for me.
positive,"loved, but hated driving in pollution"
neutral,last drops of the thesis... God let it end today.
negative,"i wanna do something tonight, but that doesnt look very promising"
positive, Are you sure you want to know?  It`s http://bit.ly/AUuAC - it makes me want to run. In other news: Happy Star Wars Day!
neutral,summer clothes panic over..I see rain clouds !!  still going swimming though..I`m feeling in a holiday mood
positive,"Love is an air-conditioner on a hot day...a heater on a cold day...and a warm body in bed any day  -  yep, me again"
positive,wishing i could go to CaBo tonight
positive,_Perth Awesome...love top gear..whos your favourite?Got to admit i have a soft spot for captain slow
positive,"3 days of frisbee, three nights of partying and sprained ligaments. Can`t imagine a better long weekend"
neutral, i was studying computing this year...bring as feck!! changing to plant science  next year
neutral,up and listening to The Monsters.
positive,I`m a good girl...ALL work is done
positive, Haha I should. But I won`t. lol Then I might miss something.
neutral, So I`m not seeing you this Saturday?
negative,I am horrible at appraising peer work. What are these Americans thinking when they compose poems? Or maybe I am the one with the problem.
neutral, oh no  this week is just a bad one for everyone. i love you & your pretty face & youre going to do fantastic in concert tonight
positive," you work really hard so, sometimes you need a break, haha.  so, yeah...just let me know if you need help in anythin`."
negative,"Oops, they don`t open until 9am"
negative," indeed, we live a life on the edge of things, and one foot foul of the law!!"
positive," haha hell ya id love to find some boys to toke with, and thats a very sexy bike"
positive,A gift to myself. PUBLISHED! Episode 68 Align and Re-Align with Sensitivity Level 1-2 75 min #yoga class  http://bit.ly/8QAgh
neutral,omg a rat... ewwwww. omg i cant wait for tha marra.. so ecxcited. annabel cant go tho
negative," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave."
positive,Happy Mothers day  <3
neutral, Iï¿½m good! You coming on just as Iï¿½m off to drive home...
positive, I guess that`s true!
neutral,hopefully im getting my new windows tomorrow. still using my mums lap... birthday tomorrow eve and facebook doesnt work somehow.
positive,Covering my portfolio to send to my *dream job* in ny! Send good vibes!
positive,"Happy Star Wars Day, everyone! May the force be with you all, be you Padawan or Jedi."
neutral,Time to take a astronomy test!
positive, you are adorable
neutral,Dï¿½jï¿½ vu!!! Changing out of my GQ outfit
positive, haha yay We love you too Mr. Shane Dawson
negative,dev.java.net : the slowest website
negative," Haha, she`s up here to stay, it`s nearly 2 hours on the coach for her to get here, may not be convenient for an hour of TV!"
positive,watching hoping for haley
neutral,"_magazine thats no dream for me, thats reality  CS4 is on my wishlist"
positive,"AmmoxXx great day? Woman, did you NOTICE the smile that never disappeared off my face? Ha, Murray... All cos of you, I owe you"
negative,.....headache
positive," Thank you  I liked Joe`s clothes` being ripped off and then Kevin screaming, 'Who are you!?!' XD"
negative," ha!The potential is there but so is the loss of fingers, think you can get the PO to do it? At a charge and not full proof"
positive,The nocturnal serendipity... Kashmir is an important means to that end...
positive," AND, We have your fabulous interracial ****!  WOOT!"
neutral, we are coming...won`t be there til around 9....can`t stay though
negative," I`m a jerk...  now I can`t go out    Dammit Frank, why do I suck so bad?"
negative,my thumb hurts after breaking the nail....
negative,"****, we have some kind of bugs in our house. And we dont know why or what it is"
positive,: just had my debut on Thursday @ The Gallery Lounge! It was fun... can`t wait to do the next one!!
negative, of course its not coming to boise
neutral,On runway 2 hours
positive, cheer up buttercup! Rain will go away and hearts always mend. I can actually bet $ on that!
negative,_sb I killed my furby tooo
negative,_is_one84 Those suck so bad.
positive," They do! Lilash I`m guessing, right?  Oh and what camera are you using? That is insane quality!"
negative, wtf pogs are back too?
positive,The dj`s and partypeople were great again at CC. Kicking  Next one June 7
positive, Thank you so much  Me neitherrrr!
positive,Gudluck to   !!
negative,Tired and gunna go to bed soon!!! First time I`ve been online today!!  All ready for mother`s day tomorow
negative,This thunder is scaring the hell out of me...geez...I HATE THUNDER  we better not loose electricity... #fb http://myloc.me/2144
positive,Feeling much better  Doing History Research.
neutral," lol girl I cannot stop!!! I am a student, I can`t afford $14 a pop eyeshadows. But I am so hooked"
negative,"_Watson I can`t this weekend, sorry  And Steph is working."
neutral,Wishing I could see N*E*R*D headline @ Fest at DePaul tonight
negative,Just got my **** kicked in Tripoly lol  I got such bad cards... i suck
positive, I like the sound of a love breeze...sounds beautiful! Love the wind on my face
positive,Wohoo! Going to see Eddie Izzard in December!
negative, awwww  nsty when ppl make fun of someone &  laugh their asses off; when the see ur not laughing that shoud be a HINT! Wrong
positive, I am glad to hear that you are ok. Without you they would have to rename the show to  'Just Friends'
neutral,first time in weeks to see the clear blue sky
negative, what about me  I miss you too!
positive,: Loved it!  Would never have thought he was into the iCarly version of Beanie Babies. xD
negative,  on your ani?  sorry
neutral, voting has closed
negative,"feels very, very rough!"
positive,getting ready for the concert tonight! YAY!
neutral, it was hours ago i came in.... and it`s only now i realised when i went to buy something online
neutral," well, someone told me it`s only there for two weeks  i`m going again next week with a friend IN SCHOOL TIME :p ..."
positive,Going to woodland hills  gna swim and drink. Makin the best of a good day. Yee
positive," oh dear, hope you are feeling better soon, get some nice hot chicken soup down you."
neutral,Why doesn`t McDonald`s make PINEAPPLE pies?
neutral, anytime from now on lol. i`m just reading and stuffs
neutral, Because of the new #Kirk. That`s why. Because of the new #Kirk.
positive,Twitter is officially the BEST way to advertise something.
neutral, do you have a password for the San Diego show? Mine is not working
neutral, I know exactly what you are saying.. its so not cool... that is why tapes were better  :p
negative,"@_dritan Dam you, I want an #android, stupid only rogers"
negative,"wanna b marie antoinette, cos she had perfect hairdo, fab clothes, n tons of macarons.  Crappy day"
positive,just done planting the garden...hope sun will shine soon!
neutral,Having a pj dayy.....Doesnt happen veryy often
positive," - not early at all, just say you are running on eastern time  hope you had fun at your auditions! canada ftw!"
positive," - well i greatly appreciate your comment.  That means a lot to me.  I`m working on both of them...work in progress, you know."
positive, Indeed. Have a nice week!
positive," Too easy! Happy Mother`s Day, to a great mom!"
negative,Stu is actually SEVERLY sunburnt....it hurts!!!
negative,A thursday. Is that REALLY necessary  ? Have u ever heard of school and horrible mums
negative,OPS sorry  Queen Mom
neutral, why you will so little time in rio de janeiro? forgive babelfish!
positive," i`ve heard that ST isn`t true imax- shot at 1828x1556 and blown up to 4096, still- nice big screen!"
neutral,"goodnight twitter, ill see you after 10 + hours of sleep or more"
negative,"I am in school. Absolutely I have been sick .. I want to go home - we are writing of geography, the best it will"
neutral,An extra night in pasadena with sergi baby cuz i `missed` my train to riverside
negative, ask mark if he still has that old blink sense of humor!! i miss it
neutral,going thru bills
negative,"So I was just angrily told I was extemely abusive...mentally, emotionally, & physically. It made my day.  Nightss."
neutral,some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow
negative,Packing  I don`t like it..
positive,": what a cute pic of the girls, and so vibrant.  I didn`t get anything cpeven close."
negative," haha.. you were actually in violations of someone`s trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :["
positive,I had fun this summer
negative,  I kinda want to smack that darn skeleton though.
neutral,http://twitpic.com/4jax3 - Update Ableton Live
neutral,please check out www.mysweetebony.com and lmk what you think  ... my first paysite ... post up your site too!
neutral, Hi Its not about howmany people follow you its about how much you help others
negative,I`ve been dead the past 2 days...the flu sucks
negative," I need a hug because our pitching has been lackluster, our shortstops can`t field & Big Papi can`t get above the Mendoza line."
neutral, ahahaha okay deal  now i only have to snuff hermione out
positive,Went to see 'UP'. It was a really good movie that pulls at the heart strings  i highly recommend it
negative, I am so sorry.
neutral, http://twitpic.com/4bckp - that should answer part of your question
positive, Have a good day
positive,Working working and working at www.redirlanda.es. Many hours spent but it worth!! Letï¿½s make Red Irlanda big
positive," I think that boat sailed my friend... The few CCO`s that had them, had them months ago....  I wish you luck though..."
neutral," Yup, sometimes kc it`s raining here in Pque but in Las Pinas it`s not. So just wondering."
neutral, boo  you can come over and we`ll watch telenovelas and braid each others hair.
positive,05/30 - first session  yay me!
positive,_PopuLarEnt awww boog u aint been on in a min....hey to ya.  but that`s whats up enjoy ya`ll selves especially your lil cousin.
positive," Pixies - Number 13 gives me such an energy rush. They are playing a festival close to me in June, but work won`t me me go"
negative, i know.. i suck.. i`m a master procrastinator  ... you guys don`t have too much fun without me
positive,i won because im awesome
neutral,getting ready to drop off something to my man so he can hang out with a friend instead of me
neutral,_angel I cant i dont have mms  but i will waer it nexxt time i see you
negative," nothing  it`s sad, actually"
negative, I`m sorry you`re not having the best day - neither am I though  Are you working tonight??
negative, so jealous
neutral, IM SOWWIE I WAS A LIL LATE  LOL it looked good though ;)
positive,Following _aisa These guys could be shifty but worth following regardless.
negative,"On another note, geoDefense Easy down. Onwards to the medium maps, where a whole other world of pain awaits my exploration!"
negative,has made herself officially unavailable to her best friend
negative, I can`t die  I have a lunch date with rocio coming up plus some new shoes UGH!
neutral," actually,we r going there in june with my office colleagues,paid by company"
neutral,_princess69 hehehe! Barry Killer! U need a pic
neutral," Yeah, I hired some guy named Lenny to tend to the rabbits this year."
negative, yeah sucks eh!
negative," come home, then. Not so boring here."
negative,House hunting for next year= No FUN!
neutral, Sounds like me
negative,"i hate working, especially when the weather is good"
positive,wishes I could be the one going to our conference in the Bahamas next week
neutral, who are the crew? please dont be me...  i dont think it is but i could be wrong i have been a number of times...
neutral,Woke up at 7:50 then fell back to sleep. Woke up at 8:50 and back to sleep again. Woke up at 9:50 and I`m staying awake! MORNING!
neutral, Hah!  Sparkly ones at that.
positive,Today is my first Mothers Day with my little boy. Hope you`re having a beautiful Mothers Day too
neutral, Nope
neutral,Ed is awake! But Andy doesn`t feel so hot so she`s still sleeping.
positive,So the movie was 3-D and really gooood
negative, is a no show for lunch. Eating solo at noodles
negative," I so agree with you we have been married for 7 yrs, and this is our 6th move  BLAH!!!"
neutral,Cant fall asleep.
negative, She! Maybe that was our first mistake.  Not everyone is as cool as   (brown nose moment)
neutral, yes dear....  ... I`m opff bbl8r
positive,Haha how exciting  wat does it look like?!
neutral,"_Is_Here oh hun, i`m sorry... out of everything you`ve been through, the last thing you deserve is to be unhappy at home.."
neutral,I`m not looking forward to the crazy commute come with everything that`s going on down here
neutral, Why can`t you? Are you rooting for Ali in the Twitter war?
negative,  i thought you liked the name
positive,A salute to Chapel Hill North Carolina. From SY  * ? http://blip.fm/~5jgj3
neutral,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
negative,Having horrible nightmares not gonna go back to sleep
positive," hi hun!!  i really loved your tutorial yday!  soooo much, it was one of the best tutorials i had watched in a long time!  ****"
negative,No one wants to sit with me at lunch  I guess I`ll just bury my head in my laptop and continue to be anti-social.
positive, thanks for having me! i had a great time too
negative,OK tweeps.. sorry. too many twitpic. I`ll delete those pics as soon as  had `em copied
positive," I be ok, you?"
neutral,"_Jamie How are ya, honey? What happend to  account  ?"
positive,"BTW, Happy Star Wars Day... May the Fourth be with you! ROFLMAO...yes, I know I`m a total dork."
neutral,_lord But that means you`ll leave me alone.
positive,_LeAnn if it makes you feel better im studying on a sat night w/o blackberries
neutral,OMG i havent been on twitter all day  going thru withdraws
positive," no worries, good news are good to spread"
neutral,finishing up at the studio  NEW SONGS UP ON MYSPACE tomorrow MAY 5th
neutral, im probs gonna have to wait until it comes out on dvd  x
neutral, I can`t believe you went and got boba without me.
positive,"_98 ****, that`s my favorite part...lol...ok, i`ll just keep in stock alot then"
negative, yup-unfortunately  Took today off work and just slept all day.
positive,http://bit.ly/dIQF3 I hope some day my mom will get this message!
negative, Shiraz event was in an `anti-bahai` center.not in a mosque or in election campaign.Sadly children wr involved in zahedan
positive,All moved in to our new apartment. So exciting
neutral,I`m supposed to be Ms. Twitterology
negative,Having one of my bad days....Migraine today. My 1st since my neck surgery about 2 1/2 months
positive, Yay for full-term!!
negative, It does it sometimes - it should come back ;) And the car thing sucks - I feel all anxious and yucky now
positive,  Happy Monday!!  Hope you have a great week!
positive,Headed to drop my lil cuz off at the bus stop! Then its back to the bed to read my book!  relaXin on my day off.
negative,"wishing i was there, so you should go in my place. #brandwkshop http://tr.im/mOXL i see they`ve got scott bedbury and more.. poor me"
negative,I don`t think the neti pot is working for me  maybe I`m doing it wrong?
neutral,all cash  and looking for trades...can`t find any
positive,Awesome night ahead: BAD v Rat City! Most of my favorite skaters on one track  #fb
positive, yeah   but I`m jus glad the thunder stopped .
positive,Happy Mothers Day to all the Mommies!
neutral,coming home tomorrow with a car full of treasures
neutral," now I know why it didn`t work, just not too keen on paying though for a 2ndary social network"
negative," Im home, phone died thou"
neutral, i want to see you on tour!
negative,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan"
neutral," EH! u dont like retro? tisk tisk, what u been upto? ...apart from waxing ur 'mustache' lol"
positive, good. that was the intent.  hopefully others get the same vibe
positive, Uh oh!  Hope nothing too damaged.
neutral,sitting in the parking lot-by myself  i miss you baby. couple min til i gotta deal with a ****. then i`m peacin` out and hitting the gym
negative,wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad
negative, I`m watching it at the moment  -sighs- and straightening my hair which takes hours as my hair is so curly!!
neutral,I now know more than I ever wanted to know about the extinction of frogs
neutral, Ive been wanting 2 but will be gone 4 2 mo. & have to close my shops!
neutral,1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren`t transfered yet. #sadpanda #fb
neutral,...you should call school and tell them you have swine flu so we can have the day off
positive,mum`s day - ended up being happy  not that it`s my day or anything....
positive,hey Dasit thanks for the message
positive, HEYHEYHEYY happy star wars day   watcha doin this friday? up for a movie?
negative,everybody is sick
negative,transferring 368558682 photos is annoying.. I want to watch Up
neutral,Ok peeps...I`m not crazy...I was twittering 2 someone but had no idea how 2 direct msg from my cell! Blonde moment!
neutral,Cooking brown rice  http://bit.ly/gihac
positive,is loving the half day! If only it wasn`t raining.  Soccer Practice tonightt.
positive, not really ;D nice pic .  no but could u imagine those 2? ... i thought so
neutral,  Looks like I`m on tea duty all day.
neutral," hermits, such as myself, like to stay in"
neutral, 1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today  Freakin filipino parents AHA
neutral,Working and watching Milk
negative, you are just wrong!!! Now you`ve come to brag with a full belly??? Smh ...
neutral, wifeyyyyyy  me no likey u siky
positive,Oh that just made my evening.  I forgot Merlin was on tonight!  But its a toss up between Rove and Spielburg on Spielburg on ABC2 choices.
negative,"_xox  Oh god, everyone`s dying.  But it`s mainly justin depressing me"
negative, the second i hit reply to that tweet i was asked to stop playing music.  i am now sad. someone sing to me. on or off key works!
negative,such a terrible day  only six now...
neutral,jolly good last night
neutral, and the grease drip pan doubles as a butter dish (in a pinch)
neutral,"loves surprises, but is never surprised"
negative, didn`t have my camera with me  totally regretting it now!
negative,says misses my cousins so badly!!!  http://plurk.com/p/x2bha
positive, alredy had my chocolate  it is impossible to resist ;)
positive,_OTTAWA have fun!
negative,"I hate exam time. I want my life back  Also I want the ability to revise back - if I ever had that ability, that is."
positive,Happy Mother`s Day to all the American mamas!
positive, hahaha thaanks!  iï¿½m from brazil!
neutral,"I want to go shopping tomorrow, but I have to work  Buy me things, you know you want to!"
positive,"Looking to sketch final catwalk outfit, i really REALLY want my long pink hair back. i also want to dye my models hair pink not allowed"
negative,It is hot here in Texas and our ac upstairs is broken so its really hot at my house.
positive,"my girlfriend still likes sesame st, and so do I"
positive, thx! Hoping it`s a good week.
positive, thank you! It`s sunny outside so that`s a good start
positive,loves the way the sky looks now i.e. no cloud at all.  but that would only mean that it`s ultra hot outside.... http://plurk.com/p/rpb7t
positive,Looking at old pictures... I love it & miss the good ol days
neutral,Beach with ashley
negative,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me
neutral,Extremly deep
negative,To lose this gut lol no seriously i have gained a lil and im not liking how it looks.
negative,  it wont let me vote even tho im signed in
neutral,Waiting for Raimi`s new horror flick Drag Me To Hell. I`m really excited for this! Too bad it`s not in #amcmain in KC
neutral,signed up for broadband today could take 4-6 weeks
negative,"Oh yea, and I feel really feckin tired today !"
neutral,I need a break... PFFF... Work Sucksss Will be in Myrtle Beach SC in 45 days...  things like that make me soooo happy woeiwoeiwoei
positive, haha sounds like your going to have heaps of fun  ****
negative,i got a replacement phone and now all my text messages and call history are gone.  I am sad.
neutral,"_xo hey hey, ur following me  ur gna relise that i tweet ALOT!! haha more than a normal person wud but im not normal"
negative,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
negative, is there anyway you could forgive me?
neutral, i`ve been up most of what normal ppl consider the night.  no problem going to sleep but nightmares been waking me up.
neutral, do you remember my spok-5?
positive,Its a lovely 58 degrees right now at 7am.  amazing. Enjoy melting vegas. :l
negative,"hanging out with Rex, missing Alabama and my Nanna already..."
neutral, if i had a car
neutral, MMM - BTW I was just talking to you & you were gone.  2.95%
neutral," no i didnt! i couldnt get to liverpool today, of all days!  did you?"
neutral, I would be scratching ma head toooo
positive,Enjoying Mother`s Day
negative,i hate rain and people.
negative,Saturday will be the worst Saturday I`ve had in ages
positive, Itsurely will dear . in posted a presentation on Swine flu yest and it got 500 downloads in just a day!!i feels great
positive, You should direct your 'wanting to invest in ' questions to  or .  They are the big cheeses.
positive,Justin Timberlake and Leonard Nimoy? And a **** in The Box sequel? priceless
negative,I should go shower but FFAF is **** distraaaaacting
neutral,_carter It says the video is private
positive, wow thanks for saying that man! I`d love to illustrate children`s books!
neutral,finally home for once after a dope **** week
negative,OH NO TODAYS JAY LENOS LAST SHOW!!! WE`LL MISS U MR. LENO
neutral," No, it`s not"
negative, Noooo! Poor SE
negative,arrgghhhggguuuiiissshhhh no idea what to do for this modern assignement....  Burma or Cuba???? eeeep help!
positive," ITS A BANK HOLIDAY STUPID!! wait, they don`t have bank holidays in America... Okay keep on celebreting"
positive,"Friday yay!! And a bonus, don`t have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
negative,can I just go to sleep and wake up in December when my house is all organized and the baby is here?.. feeling like poo today
neutral,"moshing to fall out boy, and confetti bears are falling from the sky"
neutral,homework
negative,"i know i have lots of comments to return but i have been really busy  i`ll get round to it guys, sorry"
negative,_ yeah sorry i was busy last night  ill try and go next week!
neutral, I`m researching NYC stuff.
positive, you should say mlia instead of fml  i hope you find it soon
positive,hi beautiful! How`s it going?  
neutral,Off to school so tired didnt hear the 10 texts i had last night lol !! Still tired but i love Jesus Christ
negative,becoz of leg sprain nta ble to do proper wrkouts. Worried shud dis hapen wen i satrted dieting...
positive,"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY  i love you all!"
neutral,Now english academy
neutral," Haha, it`ll be gross by the time it comes back.    Tell you what .. we`ll Yum! Vancouver some malay spot soon, or just go indian"
positive,Could be useful  13 Tutorials & Resources for a Perfect Twitter Background http://tinyurl.com/dl2upx #design
negative,Someone keyed my car.
neutral,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment
negative,Getting all annoyed cos this weekend`s going to be hot. I`m bloody working
positive," I did my best, it is Sunday after all"
positive,such a fun night with Bekah just talkin and stuff. Wuv her
neutral,hey Twitters
negative,I`m hungry. And single.  heading to the golfing range soon.
negative,"Choir assembly was bad  it`s **** hot, yay!"
positive, LOL.  **BLows Kiss** did u Catch it daddY ??.. neways im chillin hun and u i see u up early have u been a sleep
negative,either my inerne is **** or my mind is but i`m pretty sure that it`s the internet
neutral,they shot him  he was still alive too...
negative, my tvs not working  i wanna watch vhits :`(
positive,"went to galveston, want to go back"
positive, Sounds nice! If you try the recipe you gotta tell me how it turned out!
neutral,about to book train tickets for friday!
positive,lovely night of steve-o and family guy. off to bed.
neutral," Thanks hun! I`m wearing my new goldmine e/s and big false lashes, but it doesn`t show!"
positive,im determined to slarm around my house and eat egg sandwiches. and smoke a few bowls. sounds like a splendid evening to me
neutral,"Photo: thelovelybones: I SPY JONAS BROTHERS AND DEMI LOVATO OMG D: Ahhh yea, 3d movie premire  http://tumblr.com/xbb1qyx0e"
positive,"Well, I just need to get some motivation, and also, to do my homework, and essay... And.... it`s such a lovely day! How?"
positive, Dont worry man. You`ll see me just as much this week as you did last week.
positive, Good morning
neutral, lol I really wanna go there!! Imma check the vid out rite now
neutral, you can vote once per day per computer
positive, Haha  i like you default picture.     Meow.
negative,I feel actual heartbreak.. _Gates last night  x
neutral,new book in the pocket http://bit.ly/1bI7aD
neutral,"gonna be in bed soon as Friday`s over soon,   would like to plug in!!"
neutral," Haha, i came home from a long night out, and all i saw on Tweetie was Khayyam Wakil. I usually don`t announce and **** - LOL"
positive,_Jo my mask is non-existent at the mo  Charis didn`t send me one & I haven`t been bothered to make one! I`m wearing boy clothes!
positive,hey!! at home about to sleep i cant believe weekend finished so fast! happy mothers day!! good morning and have a great sleep
neutral,_ that`s why twitter rocks!
neutral, you finally watched he`s just not that into you arizzard  justin long is sexy isn`t he! i told ya
neutral,Basil will be the highlight of my day. I`ve just had an old man lecture me on the greatness of the Telegraph. What an idiot
neutral,"midday and a half, time for lunch"
positive,Go Canada they made Nikkie Payne #1 comic well she is soo yeah but she is only funny to pervs or teens or people in my family
positive,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD"
positive, haha that`s way cool! Good morning
positive,"HAPPY B-DAY TO LINA  haha, your birthdaypresent to me would be to comment on the new video ;) http://bit.ly/17Cy61"
positive, Good Morning and thanks for the Retweet
positive,"MIT bookstore has best book selection, but it`s the one bookstore I have no coupons or discounts for"
negative,at work and it sucks big time
positive,"just got back from hangin with the bestie at the pool, soo nice"
neutral, Their is no such thing as TRANSPARENCY only selective OPACITY...
neutral,"wants to set up a coffee shop, but he has no money to do it"
positive, everyone loves u sarah not just the tweeters! the today show couldnt stop raving about your beautifulness...
positive,is feeling very happy despite the amount of work that i need to do today!!! Happy times
negative, Oh so nooooowwww youre too busy for me...dam I see how it is! How long we known each other?!?!?
neutral,is about to go for a run.. in this weather..
neutral,has the day open until 4. don`t know what to do. everyone is leaving today
negative,"_music im always blunt with my feelings, never seems to do any good"
negative,: Am sad i got no money on my phone. Ahh well  lly Mitchel ****
neutral,Doggone it! I only got an hour nap in  I really want some Ponderosa chicken wings!
neutral,Just work up
negative, i want you to go walking with me!! but i still miss my satan
neutral,i feel some type of way cause im not talkin to anyone...
positive, have you check oceanup?'miley cyrus justin gaston fight after lunch' you ok with justin?hmmm.im with you whatever happen
positive,Writing my Music Lit final paper on Mozart`s Eine kleine nashtmusik. Mom is giving me a hand...and I`m actually having a GREAT time
negative," I kept calling and calling, but never got through"
neutral,Early start today! More rain and more miles!
negative," ack, no can see  either.  and weird, these tweets are in my mentions, but not my timeline (oh wait, new Twitter)"
neutral, I was gonna text u and ask what puff meant!!
neutral,at the taste a addison w/ her fav. ppl
positive,justin timberlake + snl = awesome ... dude should just become a regular
neutral, - I`m not letting Reach sink. Thats for sure. I`m still presenting and joint HON! Owens Mon 8pm-10pm & I`m Sat 2pm-4pm
positive, sounds like a great idea.  wish I could make it
positive, HELLO friend!! Welcome to Twitter!!
positive," have a nice time, with plenty of dreams"
neutral,Chocolate milk and subway. MMM
positive," Love that she couldn`t just stop with one picture! First one is priceless, but the speedo is great, too.  Kudos to mom."
neutral, Hi frenchie *-* i`ll do that...later  :p
negative, Yucky! We had our last soccer game of the season today...tryouts start Friday
negative,just wants to get it over and done with. I miss working
positive,"Dear God please let me wake up before 11:45 AM tomorrow lol Got plans  Tonight was lets pick on Hero night. grow up, get a job, etc. lolz"
negative,"Oh ****.... Here goes my head again, 'I`m Spinning Around'"
positive," Enjoy Springsteen, I`m seeing him at Glastonbury in June!! Give us a report when you get back"
